字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
聉	21183	3316	ŋit		無知意也
聉	22075	3431	ʈɣwɛt		無所聞也
聉	22144	3442	ŋɣwɛt		無知之意
聊	5683	653	lew	rely on	語助也亦姓風俗通有聊倉爲漢侍中著子書又有聊氏爲潁川太守著萬姓譜落蕭切四十二
聎	5628	649	tʰew		耳疾
聐	22173	3448	ŋɣat		聐顡無所聞也
聑	25108	3838	tep		耳垂皃丁愜切十二
聒	21913	3412	kwɑt		聲擾
聖	19110	2978	ɕieŋʱ	sage (n.)	生也通也聲也風俗通云聖者聲也言聞聲知情故曰聖式正切一
聘	19121	2983	pʰieŋʱ		聘問也訪也匹正切三
聙	7880	910	tsieŋ		聦聽也
聚	10771	1353	dzwiő	bring together	衆也共也斂也說文會也邑落云聚慈𢈔切二
聚	15737	2332	dzwioʱ	bring together	又秦雨切
聝	23416	3628	kɣwɛk		上同馘𢧵耳又獲也或作聝
聞	4100	455	miun	hear (v.)	說文曰知聲也又音問
聞	17271	2581	miunʱ		名達詩曰令聞令望
聤	8029	934	deŋ		耳出惡水
聥	10769	1352	ɦwiő		張耳有所聞又音矩
聥	10902	1369	kwiő		張耳有所聞
聦	297	28	tsʰuŋ		聞也明也察也聽也殷仲堪父患耳聦聞牀下蟻動謂之牛鬬出晉書
聧	3198	317	kʰwe		說文云耳不相聽方言云聾之甚者秦晉之閒謂之聧
聭	15037	2208	kwiʱ		馬色淺黒
聮	5358	613	lien		聮綿不絕說文作䏈
聱	6134	697	ŋɣaw		不聽也五交切又五勞語彪二切四
聱	6352	718	ŋɑw		不聽又五交切
聱	9018	1042	ŋiw		聱[取/耴]魚鳥狀語虯切又五苞切一
聲	7937	918	ɕieŋ	sound (n.)	聲音又姓左傳蔡大夫聲子書盈切一
聳	9915	1184	siow̋ŋ		髙也說文曰生而聾曰聳
聵	16740	2484	ŋɣwɛiʱ	deaf	聾也五怪切三
聶	24911	3817	ɳiep	promise; whisper in one's ear	姓也楚大夫食采於聶因以爲氏尼輒切十六
職	24029	3694	tɕɨk	duties of office	爾雅云職主也常也博雅云業也字林云記微也又姓周禮有職方氏其後因官爲姓風俗通云漢有山陽令職洪之翼切九
聸	9376	1089	tɑm		說文曰垂耳也南方有聸耳之國
聹	8169	940	neŋ		耳垢又乃鼎切
聹	13702	1907	ne̋ŋ		耵聹
聻	10520	1310	ɳɨ̋		指物皃也
聽	8174	941	tʰeŋ	listen	聆也又湯定切
聽	19185	3000	tʰeŋʱ	listen to; obey	待也聆也謀也他定切又音㕔三
聾	238	24	luŋ	deaf	耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也
聿	21226	3326	jwit	following, thereupon	循也遂也述也說文曰所以書也楚謂之聿吳謂之不律燕謂之弗秦謂之筆餘律切二十一
肁	12578	1677	ɖie̋w		開也又姓戰國䇿趙有大夫肁賈
肂	15175	2230	siʱ		埋棺坎下
肄	15213	2239	jiʱ		習也嫩條也羊至切八
肅	20431	3223	siuk	solemn, severe	恭也敬也戒也進也疾也又州名古月氏國地漢匈奴昆邪王殺休屠王并其衆來降遂置酒泉郡後魏以酒泉爲甘州隋分福禄縣置肅州亦姓出姓苑息逐切二十三
肆	15165	2230	siʱ	unrestrained	陳也恣也極也放也說文从隶極陳也又姓何氏姓苑有漁陽太守肆敏
肇	12577	1677	ɖie̋w		始也正也敏也長也治小切十一
肉	20333	3212	nʑiuk	meat, flesh	骨肉如六切俗作𡧢三
肊	24123	3708	ʔɨk		氣滿
肋	24311	3727	lək	rib	脅肋𥼶名曰肋勒也所以檢勒五藏也
肌	1348	149	kji		肌膚
肍	8780	1014	ɡiu		乾肉醬也
肎	13750	1925	kʰə̋ŋ		上同肯可也說文作肎骨閒肉肎肎著也一曰骨無肉苦等切二
肑	20780	3272	pɣɔk		上同𥭖𥭖手足指節之鳴者亦作肑
肑	23855	3676	tek		腹下肉也
肒	17620	2649	ɦwɑnʱ		皰肒
肓	7375	844	hwɑŋ		心上鬲下
肔	10125	1222	jie̋		引腸莊子云萇弘肔崔譔注云肔裂也又敕紙切
肕	17090	2553	nʑinʱ		牢肕
肖	18228	2768	siewʱ	resemble	似也小也法也像也
肗	10636	1329	nʑiɤ̋		魚不鮮
肘	13789	1931	ʈiű	elbow	臂肘陟柳切四
肙	17976	2712	ʔwenʱ		小蟲也又空也
肚	10941	1376	dő	belly	腹肚又當古切
肚	10969	1379	tő	belly, stomach	腹肚又徒古切
肛	664	69	kɣɔŋ		胮肛脹大又許江切
肛	730	79	hɣɔŋ		許江切四
肜	121	11	jiuŋ	sacrifice on a following day	祭名又敕林切
肝	4672	517	kɑn	liver	木藏
股	10979	1380	kő	thigh	髀股
肢	776	87	tɕie	limb	肢體
肣	9293	1076	ɦəm		排囊柄也說文同上圅銜也說文舌也
肣	14255	2016	ɦə̋m		牛腹又音含
肤	2558	271	pwio		上同膚皮膚又美也傅也
肥	1909	216	biui	fat (adj.)	肥腯說文曰多肉也亦姓[左傳/戰國策]有肥義符非切十一
肧	3537	378	pʰwoi		懷胎一月芳杯切八[坯/坏]
肧	8625	1003	pʰiu		孕一月又普回普來二切
肨	14734	2147	pʰɣɔŋʱ		脹臭皃匹絳切一
肩	5078	580	ken	shoulder (n.)	項下又任也克也作也媵也又姓出姓苑
肪	7038	810	bwiɑŋ		脂肪又音方
肪	7115	818	pwiɑŋ		脂肪
肫	3955	434	tɕwin		鳥藏
肬	8408	986	ɦiu		上同疣結病也釋名曰疣丘也出皮上聚髙如地之有丘也
肭	20393	3219	ɳiuk		朔而月見東方謂之縮肭女六切八
肭	21695	3385	nwot		腽肭
肭	22085	3433	ɳɣwɛt		腽肭肥皃
肮	7481	852	ɦɑŋ		肮[犬/大]脈也
肯	13749	1925	kʰə̋ŋ	to be willing	可也說文作肎骨閒肉肎肎著也一曰骨無肉苦等切二
肰	5283	602	nʑien		犬肉
肱	8372	978	kwəŋ	(upper) arm	臂也古弘切二
育	20294	3209	jiuk	breed, produce	養也長也余六切二十四
肴	6010	687	ɦɣaw	food	骨體也又葅也凡非穀而食曰肴亦啖也胡茅切十九
肶	1318	147	bji		上同膍牛百葉也又鳥膍胵也又步迷切
肸	21199	3319	hit		肸蠁俗作肹羲乙切一
肸	21415	3351	hiɨt		肸蠁又許乙切
肺	17037	2545	pʰwiɐiʱ	lung	金藏[方/芳]廢切四
胂	3718	402	ʈʰin		申也
胂	3778	410	ɕin		脢也
胃	15381	2277	ɦiuiʱ	stomach	腸胃說文作𦞅穀府也于貴切十七
胄	19309	3035	ɖiuʱ		冑子國子也說文曰裔也又姓出姓苑直祐切十三
胅	22335	3476	det		骨胅
胆	4655	515	dɑn		胆口脂澤出證俗文
胇	21176	3314	bit		胇肸大皃
胈	22019	3424	bwɑt		夏禹治水腓無胈脛無毛韋昭云胈股上小毛也
胉	23078	3579	pʰɑk	shoulder blade	脅也
背	16831	2510	bwoiʱ	turn the back on	弃背又姓也又補妹切
背	16933	2525	pwoiʱ	the back	脊背補妹切三
胍	2674	281	ko		胍[肫/𦘴]大腹
胎	3665	393	tʰəi	fetus	始也說文曰婦孕三月也土來切七
胏	10514	1308	tʂɨ̋		脯有骨曰胏易曰食乾胏
胐	21692	3384	kʰwot		朏臀俗又作𦜇
胑	777	87	tɕie	branch, limb	並上同肢肢體
胓	7647	875	biaŋ		牛羊脂也
胔	1055	113	dzie		人子腸名
胔	14838	2170	dzieʱ		上同髊又骨有肉也髊枯骨見吕氏春秋[𩨨/骴]
胕	15648	2320	bwioʱ		肺胕心膂
胗	11419	1466	tɕi̋n		𤻘胗皮外小起說文曰脣瘍也又音緊
胗	11466	1473	kji̋n		脣瘍也又之忍切
胘	5095	581	ɦen		肚胘牛百葉也
胘	5248	595	ɦwen		牛百葉又音弦
胙	15870	2351	dzoʱ	sacrificial meat and wine	祭餘
胛	25238	3859	kɣap		背胛
胜	8057	937	seŋ		犬膏臭也
胝	1595	180	ʈi		皮厚也俗作𦙁丁尼切四
胞	6110	694	pɣaw	womb	胞胎又匹交切
胞	6114	695	pʰɣaw		胞胎匹交切九
胟	13927	1956	məű		上同拇大拇指也
胠	2205	246	kʰiɤ		腋下又胠篋莊子篇名
胠	15533	2295	kʰiɤʱ		脅也又去魚切
胠	25288	3864	kʰiɐp	armpit; right wing of an army	胠篋見莊子
胡	2641	280	ɦo	foreigners in the north	何也又胡虜說文曰牛頷垂也亦姓出安定新蔡二望又漢複姓二氏齊宣王母弟別封母郷逺本胡公近娶母邑故爲胡母氏又胡公之後有公子非因以胡非爲氏又虜複姓南涼錄秃髮壽闐之母姓胡掖氏戸吳切三十
胥	2081	232	siɤ		相也說文曰蟹醢也又姓晉有大夫胥童何氏姓苑云琅邪人也俗作[胥/𦙃]相居切又息吕切十一
胥	10658	1333	siɤ̋		上同諝又思余切才智之稱私吕切九
胦	734	80	ʔɣɔŋ		胦肛不伏人握江切一
胦	7232	832	ʔiɑŋ		[脬/脖]胦
胭	5116	582	ʔen		胭[-/脂]頂
胮	711	75	pʰɣɔŋ		胮脹匹江切又音龐五
胮	727	78	bɣɔŋ		胮肛脹大皃
胯	6766	776	kʰɣwa		兩股閒也
胯	15901	2357	kʰoʱ		股也韓信出於胯下
胯	18786	2883	kʰɣwaʱ		兩股閒也
胰	1292	145	ji		夾脊肉也
胱	7423	846	kwɑŋ		膀胱水府
胲	3609	387	kəi		足大指毛肉也
胳	23039	3576	kɑk	armpit	胳腋
胴	14619	2101	duŋʱ		大腸
胵	1353	150	tɕʰi		膍胵鳥藏
胶	6023	687	ɦɣaw		字書云胶聲也
胷	511	52	hiowŋ		膺也亦作匈𦙄許容切十
胹	1720	194	nʑɨ		並上同𦠌煑熟
胺	21781	3396	ʔɑt		肉敗臭論語作餲食臭也
胻	7476	852	ɦɑŋ		脛也
胻	7704	887	ɦɣaŋ		牛勢胻也
胻	19071	2957	ɦɣaŋʱ		脛也
胼	5194	590	ben		胼胝皮上堅也
能	3695	397	nəi	a kind of bear	爾雅謂三足鼈也又獸名禹父所化也奴來切又奴登切二
能	8379	980	nəŋ	a kind of bear	工善也又獸名熊屬足似鹿亦賢能也奴登切又奴代奴來二切一
能	13751	1926	nə̋ŋ		夷人語奴等切本又奴登切一
能	17001	2538	nəiʱ		技能又姓何氏姓苑云長廣人
胾	15276	2257	tʂɨʱ		大臠也側吏切六
胿	3058	304	ɦe		腣胿
胿	3187	316	kwe		腣胿
脀	8234	946	tɕɨŋ	present (meat) in sacrifice	[⿱氶⺼/脀]癡皃
脁	5622	649	tʰew		月[出/見]西方又吐了切
脂	1266	144	tɕi	fat, grease	脂膏也釋名曰脂砥也著面軟滑如砥石也說文云戴角者脂無角者膏又姓魏略有中大夫京兆脂習字元𦫵旨夷切十
脃	16210	2390	tsʰwieiʱ	brittle	說文曰小耎易斷也
脄	3445	368	mwoi		上同脢脊側之肉又亡代切
脄	16958	2530	məiʱ		背側肉也
脅	19841	3156	hiɐmʱ		妨也許欠切二
脅	25274	3863	hiɐp	flank, side of the body	胷脅虚業切九
脆	16212	2390	tsʰwieiʱ	brittle	俗脃說文曰小耎易斷也
脉	23400	3626	mɣɛk	vein	上同𧖴說文曰血理之分[衷/衺]行體者又作脈經典亦作脉周禮曰以鹹養脉釋名曰脉幕也幕絡一體也
脊	23591	3650	tsiek	spine, backbone	背脊釋名曰脊積也積續骨節終上下也說文作𦟝背呂也
脕	11704	1523	mwiɐ̋n		色肥澤又音曼
脕	17273	2581	miunʱ		上同莬詩曰[微/薇]亦柔止鄭𤣥云柔謂脃脕之時新生草也
脕	17376	2599	mwiɐnʱ		肌澤
脖	21599	3375	bwot		胦臍
脘	11944	1566	kwɑ̋n		胃府
脙	8690	1010	hiu		瘠也俗作䏫又音求
脙	8763	1014	ɡiu		瘠也又音休
脚	22801	3542	kiɑk	leg, foot	俗腳釋名曰腳卻也以其坐時卻在後也居勺切五
脛	13710	1908	ɦe̋ŋ		魚名
脛	19163	2996	ɦeŋʱ	leg, shank	腳脛釋名曰脛莖也直而長似物莖也胡定切二
脝	7610	869	hɣaŋ		膨脝脹也許庚切三
脞	6689	762	tsʰwiɑ		脃也醋伽切二
脞	13084	1762	tsʰwɑ̋	frivolous, trifling	書傳云叢脞細碎無大略也倉果切二
脟	12386	1643	lwie̋n		割也
脟	22677	3515	lwiet		脅肉
脠	5328	608	ɕien		生肉醬又丑延切
脠	5330	609	ʈʰien		魚醢也說文云肉醬丑延切四
脡	13688	1903	tʰe̋ŋ		脯胊
脢	3444	368	mwoi		脊側之肉又亡代切
脢	16844	2511	mwoiʱ		背肉也又莫杯切
脣	3998	440	ʑwin	lip	口脣食倫切五
脤	11444	1468	dʑi̋n		上同祳祭餘肉說文云社肉盛之以蜃故謂之裖天子所以親遺同姓
脥	14439	2050	kʰjie̋m		腹下謙琰切一
脧	3561	382	tswoi		赤子陰也
脩	8558	994	siu	dried meat	脯也又長也又姓漢有屯騎校尉脩炳姓苑云今臨川人息流切七
脪	1361	151	ʈʰi		𦚈脪牛馬子腸
脪	11582	1496	hji̋n		腫起興腎切二
脪	17330	2590	hiɨnʱ		說文曰瘡肉反出也
脫	21945	3415	dwɑt		肉去骨亦姓出姓苑又土活切
脫	21985	3420	tʰwɑt		骨去肉又徒活切
脬	6117	695	pʰɣaw		腹中水府
脮	11298	1434	tʰwői		腲脮
脮	11327	1438	nwői		上同鮾魚敗
脯	10774	1354	pwiő	dried meat	乾脯東方朔云乾肉爲脯禮記曰牛脩鹿脯田豕脯
脰	19497	3067	dəuʱ	neck	項脰
脹	18854	2898	ʈiɑŋʱ		脹滿
脼	13233	1803	liɑ̋ŋ		膎脼
脽	1562	173	dʑwi		說文𡱂也亦汾脽巨靈所坐也
脾	1097	117	bjie	spleen	說文曰土藏也釋名曰脾裨也在胃下裨助胃氣主化榖也
腃	15048	2210	kʰwiʱ		筋節急也
腄	1251	137	ʈwie		瘢胝竹垂切三
腄	8406	986	ɦiu		縣名在東萊
腄	14849	2173	ɖwieʱ		縣名在車萊
腅	19745	3124	dɑmʱ		相飯也或作啖
腆	12093	1603	tʰe̋n	thick, ample	厚也善也忘也至也他典切十五
腊	23578	3649	siek		乾肉見經典
腋	23628	3652	jiek	armpit	肘腋
腌	9745	1153	ʔiɐm		上同醃鹽漬魚也於嚴切二
腌	24909	3816	ʔiep		鹽腌魚
腌	25301	3866	ʔiɐp		鹽漬魚也於業切十四
腍	14113	1984	nʑi̋m		味好
腎	11441	1468	dʑi̋n	kidney	五藏之一也時忍切六
腏	16233	2392	ʈwieiʱ		上同餟又皮腏著也說文曰祭酹也司馬[禎/貞]曰漢志作腏字通
腏	21996	3422	twɑt		挑取骨間肉也
腏	22668	3514	ʈwiet		骨閒髓也
腐	10820	1356	bwiő	rotten	朽也敗也說文爛也
腑	10779	1354	pwiő		藏腑本作府俗加月
腒	2024	229	kiɤ		鳥腊又音渠
腒	2035	230	ɡiɤ		鳥腊
腓	1910	216	biui		腳腨腸也
腓	15440	2284	biuiʱ		又音肥
腔	735	81	kʰɣɔŋ		羊腔也苦江切十二
腕	17629	2651	ʔwɑnʱ		手腕
腛	20875	3278	ʔɣɔk		厚脂
腜	3446	368	mwoi		孕始兆也
腝	12406	1647	nʑwie̋n		脚疾
腝	17442	2616	nwonʱ		肉腝
腝	18540	2824	nɑwʱ		臂節那到切三
腠	19560	3075	tsʰəuʱ		膚腠
腡	3255	326	kɣwɛ		手理也
腡	6629	749	lwɑ	fingerprint [not in GSR]	手指文也
腣	2946	300	te		腣胿胅腹胿音奚
腣	15947	2362	teʱ		胅腹皃又當兮切
腤	9268	1075	ʔəm		煑魚肉也
腥	8056	937	seŋ		豕[臭/息]肉又先定切
腥	19160	2995	seŋʱ		豕息肉肉中似米蘇佞切又音星三
腦	12808	1718	nɑ̋w	brain	上同堖或從匘餘同頭堖奴晧切九
腦	18542	2824	nɑwʱ		優皮也
腧	15682	2324	ɕwioʱ		五藏腧也
腨	12420	1649	dʑwie̋n		腨腸
腩	14199	2008	nə̋m		煑肉奴感切六
腫	9837	1171	tɕiow̋ŋ	swell, swollen; tumor	疾也說文癰也釋名曰腫鍾也寒熱氣鍾聚也之隴切六
腬	8608	1000	nʑiu		肥皃
腬	19407	3054	ɳiuʱ		嘉膳
腯	21614	3378	dwot	fat	說文曰牛羊曰肥豕曰腯
腰	5931	676	ʔjiew	waist	見上注亦作𦝫
腱	4405	478	kiɐn		筋也一曰筋頭
腱	17415	2606	ɡiɐnʱ		筋本也
腲	11255	1429	ʔwői		腲脮肥皃
腳	22800	3542	kiɑk	leg, foot	釋名曰腳卻也以其坐時卻在後也居勺切五
腴	2403	261	jwio		肥腴
腶	17680	2657	twɑnʱ		籤脯
腷	24277	3719	bɨk		腷臆意不泄也
腸	7084	815	ɖiɑŋ	intestines	腸胃釋名曰腸暢也通暢胃氣也
腹	20147	3200	piuk	belly	腹肚
腽	21627	3379	ʔwot		腽肭肥
腿	11295	1434	tʰwői		俗骽骽股也吐猥切八
膀	7509	856	bɑŋ		膀胱
膁	14464	2056	kʰe̋m		𦝫左右虚肉處
膂	10603	1325	liɤ̋		上同吕字林云脊骨也說文作呂又作膂亦姓太嶽爲禹心吕之臣故封吕侯後因爲氏出東平力舉切十[二/三]
膆	15862	2350	soʱ		上同嗉鳥嗉
膇	14846	2173	ɖwieʱ		重膇病或作㾽
膈	23510	3638	kɣɛk		胷膈
膉	23613	3651	ʔiek	throat	肥也
膊	23074	3579	pʰɑk	dismember	說文曰薄脯膊之屋上
膋	5685	653	lew		腸閒脂也
膌	23727	3660	dziek		膌[腹/瘦]
膍	1317	147	bji		牛百葉也又鳥膍胵也又步迷切
膍	3132	310	be		膍臍說文曰牛百葉也一曰鳥膍胵也亦作肶又音毗
膎	3239	324	ɦɣɛ		脯也肉食肴也
膏	6201	707	kɑw	lard (n.)	脂也元命包曰膏者神之液也又澤也肥也
膏	18451	2811	kɑwʱ	smear with lard (v.)	膏車又音髙
膒	8871	1018	ʔəu		久脂
膕	23418	3628	kɣwɛk		曲腳中也
膗	3399	363	ɖʐɣwɛi		仕懷切二
膘	12612	1683	bjie̋w		脅前又孚小切
膘	12626	1685	pʰjie̋w		脅前又音𦭼
膘	12686	1694	tsie̋w		又符小切
膙	13296	1813	kiɑ̋ŋ		筋頭
膚	2557	271	pwio	skin	皮膚又美也傅也
膜	2630	278	mo		膜拜胡禮拜也
膜	22958	3571	mɑk		肉膜
膝	20959	3289	sit	knee	上同厀說文曰脛節也
膞	5513	630	tɕwien		膞鳥胃也
膞	12419	1649	dʑwie̋n		切肉市兖切七
膞	12438	1651	tɕwie̋n		切肉又市兖切
膟	21270	3329	lwit		腸閒脂說文曰血祭肉也又作𦝭
膠	6033	688	kɣaw	glue	膠漆亦太學也又姓史記紂臣膠鬲
膠	6126	696	kʰɣaw		[膠/𥉾]面不平也
膠	18343	2791	kɣawʱ		膠黏物又音交
膡	19207	3006	jɨŋʱ		大視又雙也
膡	19230	3012	ɕɨŋʱ		美目
膢	2479	265	lwio		飲食祭也冀州八月楚俗二月
膢	8889	1020	ləu		八月祭名又力于切
膦	12332	1633	lie̋n		膦輭無力
膨	7595	868	bɣaŋ		膨脝脹皃
膨	19090	2966	bɣaŋʱ		脹也蒲孟切一
膩	15068	2214	ɳiʱ	oily	肥膩女利切四
膪	16660	2471	ʈɣwɛʱ		亦作䐱腏肉也竹賣切又竹惡切𦜖膪肥皃二
膪	18703	2865	ʈɣaʱ		𦜖膪肥也
膫	5686	653	lew		上同膋腸閒脂也
膫	18298	2779	liewʱ		炙也
膬	16211	2390	tsʰwieiʱ		上同脃又七劣切說文曰小耎易斷也
膬	22728	3528	tsʰwiet	brittle, fragile	耎而易破七絕切四
膭	3461	369	kwoi		肥皃
膭	16906	2520	ɦwoiʱ		肥大
膮	5730	655	hew		豕羹也許幺切七
膮	12529	1669	he̋w		豕羹
膯	8399	984	tʰəŋ		飽也吳人云出方言
膰	4311	471	bwiɐn		祭餘熟肉
膲	5818	665	tsiew		人之三膲
膳	17990	2717	dʑienʱ		食也
膴	2248	252	mwio		無骨腊又荒烏亡甫二切
膴	2744	284	ho		無骨腊又音無
膴	10809	1355	mwiő		土地腴美膴膴然也
膷	7014	808	hiɑŋ	beef soup	牛羹
膹	10584	1323	biui̋		𦞦多汁浮鬼切六
膹	11607	1501	biűn		切熟肉也
膺	8261	950	ʔɨŋ	breast(plate); oppose	胷也親也於陵切四
膻	11881	1554	dɑ̋n		說文云肉膻也
膼	6914	792	ʈɣwa		膇也
膽	14303	2024	tɑ̋m	gall	肝膽都敢切六
膾	16505	2434	kwɑiʱ	mince (v.)	魚膾說文曰細切肉也
膿	408	38	nowŋ	pus	上同𧗕說文曰腫血也
臀	4526	492	dwon		廣雅云臀謂之脽亦謂之[𦞠/臎]也。說文作[尻/𡱂]髀也
臂	14798	2164	pjieʱ	arm	肱也卑義切一
臄	22892	3557	ɡiɑk		說文並同上𧮫說文曰口上阿也一曰𥬇皃
臅	20611	3250	tɕʰiowk		狼臅膏也
臆	24122	3708	ʔɨk	bosom	胷臆
臇	1246	135	tswie		臇𦞦也又子兖切
臇	12361	1639	tswie̋n		𦞦少汁也子兖切三
臈	24747	3794	lɑp		俗臘臘蜡盧盍切十四
臉	9476	1103	tsʰiem		臉𦞦也
臉	14511	2070	lɣɛ̋m		臉䑎羹屬也力減切二
臊	6299	713	sɑw	fat of swine or dog	腥臊
臍	2902	297	dze	navel	膍臍說文作𣬈𪗇
臎	10377	1278	tswi̋		肥皃
臎	15139	2225	tsʰwiʱ		鳥尾上肉
臏	11475	1476	bji̋n		上同髕去膝蓋骨刑名
臐	4206	461	hiun		儀禮鄭𤣥注云羊曰臐豕曰膮皆香美之名膮呼堯切
臐	17295	2583	hiunʱ		羊羹
臑	2355	256	nʑwio		嫩耎皃
臒	22898	3558	ʔwiɑk		大也善也
臒	23193	3590	ʔwɑk		羹肉玉篇云善肉
臔	12135	1608	ɦe̋n		肉急
臕	5909	672	piew		脂臕肥皃
臖	19227	3011	hɨŋʱ		腫起
臗	4564	498	kʰwon		體也臀也
臘	24746	3794	lɑp	winter sacrifice	臘蜡盧盍切十四
臚	2150	241	liɤ		皮臚腹前曰臚又鴻臚寺漢書曰典客秦官武帝更名大鴻臚韋昭曰鴻
臛	20542	3238	howk		𡙡臛又音郝
臝	13052	1753	lwɑ̋	果臝 kwaX.lwaX a kind of gourd	並上同𧝹又力管切
臞	2313	255	ɡwio		瘠也
臞	15730	2330	ɡwioʱ		瘦又音瞿
臠	4812	531	lwɑn		臠臠病瘠皃
臠	12383	1643	lwie̋n		肉臠說文曰臞也一曰切肉也力兖切四
臡	3167	314	ne	pickled meat with bones in it	雜骨醬也
臡	3229	319	nʑe		有骨醢也人兮切又音泥一
臡	6521	734	nɑ		麋鹿骨醬
臣	3756	405	dʑin	slave, subject	伏也男子賤稱春秋說曰正氣爲帝閒氣爲臣孝經說曰臣者堅也
臤	4701	519	kʰɑn		[⿱臤皿/堅]也又口閒口耕二切
臤	4995	558	kʰɣɛn		堅也又口耕切
臤	5091	581	ɦen		古文賢又口閒切善也能也大也亦姓胡田切十七
臤	17158	2560	kʰinʱ		堅也
臥	18623	2848	ŋwɑʱ	lie down, sleep	寢也釋名曰臥化也精氣變化不與覺時同也說文曰休也从人臣取其伏也吾貨切一
臦	18932	2916	kwiɑŋʱ		乖也
臧	7499	854	tsɑŋ	good	善也厚也又姓出東莞本自魯孝公子臧僖伯之後則郎切六
臨	9050	1047	lim	look down at	莅也大也監也又姓後趙録有秦州刺史臨深也
臨	19649	3100	limʱ		哭臨又偏向良鴆切又音林二
臩	13354	1829	kwiɑ̋ŋ		說文曰驚走也一曰往來皃俱往切四
臩	13531	1863	kwia̋ŋ		驚走皃
自	15226	2241	dziʱ	self (adv.)	從也用也由也率也疾二切二
臬	22420	3481	ŋet		禮注云門橜也爾雅云在牆者曰楎在地者曰臬
臭	19330	3038	tɕʰiuʱ	odor, to stink (intransitive)?	凡氣之揔名俗作臰尺救切二
臮	15125	2223	ɡiʱ		衆與詞也[具/其]冀切七
臯	6202	707	kɑw		髙也局也澤也詩云鶴鳴九皐言九折澤也又姓皐陶之後左傳有越大夫皐如
臱	5400	616	mjien		視逺之皃
臲	22422	3481	ŋet		臲卼不安書作杌隉
至	14918	2197	tɕiʱ	arrive	到也說文曰鳥飛从髙下至地也篆文象形脂利切十三
致	15075	2217	ʈiʱ	(cause to arrive): transmit	至也說文曰送詣也陟利切十五
臶	17449	2619	dzwonʱ		人名魏時張臶又至也
臶	17968	2711	dzenʱ		重至又魏有髙士張臶戴鵀之鳥巢其門隂者又徂[問/悶]切
臸	1616	186	tɕɨ		到也又如一[也/切]
臸	20943	3286	nʑit		到也
臺	3578	386	dəi	tower	土髙四方曰臺。又姓，漢有侍中臺崇。徒哀切。十五
臻	4065	452	tʂin		至也乃也側詵切十一
臼	13851	1941	ɡiű	mortar	杵臼丗本曰雍父作臼又姓左傳宋華貙家臣臼任
臼	20265	3205	kiuk		兩手奉物
臽	14245	2015	kʰə̋m		小穽名也
臽	19848	3159	ɦɣɛmʱ	small pit	小坑
臾	2401	261	jwio	pull, drag	善也亦須臾又姓左傳晉大夫臾駢
臾	15003	2205	ɡwiʱ		上同蕢今作𠀐貴𠳋皆從之草器也
臿	25181	3848	tʂʰɣɛp	pestle	春去皮也或作疀俗作𠚏
舀	2437	261	jwio		曰也又音由又代兆切
舀	8521	990	jiu		上同抌又以沼切抒臼出周禮
舀	12672	1692	jie̋w		說文曰抒臼也
舁	2068	231	jiɤ		對舉
舂	450	47	ɕiowŋ	hull grain, beat (v.) stick for beating (n.)	丗本曰雍父作舂吕氏春秋曰赤兾作舂書容切六
舄	22877	3556	tsʰiɑk	slipper, shoe	人姓纂文云古鵲字
舄	23582	3649	siek	slipper, shoe	履也崔豹古今注云以木置履下乾腊不畏泥濕故曰舄也
舅	13849	1941	ɡiű	mother's brother	夫之父也亦母之兄弟又姓左傳秦大夫舅犯其九切十一
與	2065	231	jiɤ		上同歟本又餘佇切說文云安气也又語末之辝亦作與
與	10624	1327	jiɤ̋	give; for; and	善也待也說文曰黨與也余吕切又余譽二音七
與	15606	2309	jiɤʱ	participate in	參與也
興	8311	961	hɨŋ	lift, rise	盛也舉也善也說文曰起也从舁从同同力也亦州名戰國時爲白馬[玄/氐]之地漢置武都郡魏立東益州梁爲興州因武興山而名虛陵切又許應切三
興	19226	3011	hɨŋʱ		許應切又許陵切三
舉	10718	1344	kiɤ̋	lift, raise	擎也又立也言也動也說文本作擧又姓出姓苑居許切十
舊	19343	3042	ɡiuʱ	old	故也亦姓出姓苑巨救切三
舋	17180	2564	hinʱ		俗衅牲血塗器祭也許覲切三
舌	22196	3454	ɦɣwat		塞口說文作𠯑話栝之類从此
舌	22588	3497	ʑiet	tongue	口中舌山海經云長舌山有獸名長舌狀如禺而四耳出則郡多水又姓左傳越大夫舌庸也食列切四
舍	13146	1781	ɕia̋	set aside, give up	止息亦上同捨又音赦釋也書冶切五
舎	18754	2877	ɕiaʱ		屋也又姓古作舍始夜切五
舐	10207	1235	ʑie̋	lick	俗舓以舌取物神帋切四
舑	9396	1093	tʰɑm		吐舌也他酣切九
舑	9519	1108	nʑiem		舚舑長舌
舒	2007	228	ɕiɤ	slow, easy	緩也遟也伸也徐也敘也亦州名春秋時晥國晉於皖縣置懷寧縣武德改爲舒州亦姓何氏姓苑云廬江人
舓	10205	1235	ʑie̋	to lick	以舌取物神帋切四
舕	19730	3120	tʰɑmʱ		舚舕舌出
舚	9596	1124	tʰem		舚舑吐舌
舚	19809	3143	tʰemʱ		舌出皃
