字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
𤸅	3915	428	min		病也
𤸌	19637	3093	ʔimʱ		心中病亦作癊
𤸎	21805	3398	kʰɑt		䳚鴠
𤸑	19359	3045	pʰiuʱ		病重發也
𤸑	19412	3055	biuʱ		再病
𤸑	20181	3201	biuk		音譜云病重發也
𤸒	15624	2316	ŋwioʱ		疣病
𤸪	16282	2401	tɕʰieiʱ		上同痸郭璞云癩病
𤸫	11630	1505	ɦiűn		病也
𤸫	17291	2582	ɦiunʱ		病也又尤粉切
𤸬	1474	165	ʂwi		病也說文減也一曰耗也
𤸱	24706	3787	ʔəp		短氣
𤸱	24834	3805	ʔɑp		短氣也又烏合切
𤸵	15892	2355	pʰoʱ		𤸵𤻱痞病又音步
𤸵	15915	2358	boʱ		𤸵𤻱痞病又音怖
𤸶	16745	2485	bɣɛiʱ		韋囊吹火
𤸷	4194	460	ɡiun		[𤹝/痺]也
𤸷	4962	550	ŋɣwan		𤸷痺五還切二
𤹝	15183	2233	bjiʱ		足氣不[生/至]
𤹡	6877	786	tʂɣa		瘡痂甲也
𤹨	18154	2753	lienʱ		疰𤹨惡病也連彦切二
𤺈	2715	282	do		廜㢝草菴通俗文曰屋平曰廜㢝
𤺉	10085	1216	ɦwie̋		口咼
𤺊	3114	308	se		上同㾷痠㾷疼痛亦作廝
𤺏	4890	537	pʰwɑn		弃𤺏
𤺘	13120	1770	ʔɣa̋		並上同啞不[-/能]言也烏下切又乙革切三
𤺺	11853	1551	tɑ̋n	illness; toil	病也
𤺻	12366	1640	dzwie̋n		大痒
𤻘	11635	1507	ʔiɨ̋n		𤻘胗皮外小起
𤻙	23204	3591	ɦwɑk		㾰𤻙
𤻱	15789	2344	loʱ		𤸵𤻱痞病
𤻲	18295	2779	liewʱ		𤻲病說文治也
𤻲	22996	3572	lɑk	to cure	治病又音料
𤻴	8389	981	dəŋ		𤻴痛
𤻶	12198	1615	be̋n		[◲广編/𤻶]骨風病也
𤼌	24191	3712	jɨk		痒𤼌淫𤼌
𤼐	17640	2652	kwɑnʱ		病也
𤼒	10225	1239	jwie̋		瘡裂
𤼙	4815	531	lwɑn		病也瘦也
𤼙	5583	640	lwien		病也亦作𤼣
𤼠	13055	1753	lwɑ̋		上同瘰瘰[𤻤/癧]病筋結也
𤼺	17030	2544	pwiɐiʱ		賦斂
𤽊	11187	1408	pe̋		明白
𤽥	22998	3572	lɑk		大皃
𤽺	20064	3191	luk		白獸
𤽼	22983	3572	lɑk		[太/大]白
𤾕	15963	2364	tʰeʱ		並上同替出說文廢也代也滅也說文本作暜廢一偏下也他計切二十
𤾬	9765	1158	műŋ		物上白醭
𤾸	10084	1216	ɦwie̋		花也榮也
𤿊	11891	1556	kɑ̋n		亦同皯面黒又工旦切
𤿎	897	99	pʰie		器破而未離又皮美切
𤿎	1258	141	pʰjie		器破也匹支切一
𤿕	11522	1482	mji̋n		細理
𤿙	14793	2161	bieʱ		𤿙𧛸
𤿙	14914	2194	tʂieʱ		𤿙皺皮不展也
𤿚	2869	293	tsʰo		皮皵惡也
𤿚	10749	1349	tsʰiɤ̋		皴𥅗皮裂七與切一
𤿠	20990	3293	kjit		黒𤿠
𤿧	17501	2634	ɦɑnʱ		射𤿧以皮[𤿧/捍]臂
𤿩	20837	3276	kʰɣɔk		𥀣𤿩皮乾
𤿫	22627	3506	ʈʰwiet		皮破丑恱切一
𤿳	11579	1494	kʰji̋n		皮厚皃
𥀁	10942	1376	dő		桑皮
𥀁	10973	1379	tő		桑皮又音杜
𥀈	25178	3847	tʂɣɛp		皺𥀈皮老
𥀍	903	100	pie		古文羆爾雅曰羆如熊黃白文孝經援神契曰赤羆見則姦宄自逺也
𥀕	21113	3306	pjit		畫韋曰𥀕
𥀜	1784	199	tʂɨ		[𥀜/㿳]手足生皮堅也
𥀣	20900	3282	ɦɣɔk		𥀣𤿩
𥀰	24754	3794	lɑp		𥀰㿴皮瘦寛皃
𥀹	12124	1607	ke̋n		皮起
𥁑	21085	3305	mjit	wipe a vessel clean (Shuōwén)	拭器
𥁓	13758	1927	ɦiű		上同䀁器也又[余/于]救切
𥁓	19288	3033	ɦiuʱ		上同䀁抒水器也
𥁔	19909	3179	pʰwiɐmʱ		上同䀀杯也
𥁕	4465	485	ʔwon	kind (adj.)	說文曰仁也从皿以食囚也今作昷同烏渾切十三
𥁠	5573	638	ɡwien		盌也
𥁮	18203	2762	dewʱ		上同莜草田器又音苕
𥁰	7658	877	miaŋ		上同盟盟約殺牲歃血也周禮有司盟
𥁰	13526	1862	mia̋ŋ		盟也
𥁹	13139	1778	dʑia̋		器名
𥁺	14206	2009	tʰə̋m		[𥁺/𧖺]𥁺醢亦作醓
𥁼	1275	144	tɕi		上同䓜䓜[⿱艹殂/菹]也
𥂇	20063	3191	luk		吳王孫休三子名
𥂈	2842	291	po		籀文
𥂓	6589	745	mwɑ		杯也又莫加切
𥂓	6701	766	mɣa		杯也又莫何切
𥂔	12729	1704	kɣa̋w		器也
𥂖	20052	3191	luk		上同盝去水也瀝也瀝也或作漉
𥂥	4665	516	dzɑn		䀂𥂥大盂
𥂩	10995	1380	kő		器也說文作䀇
𥂸	6981	805	jiɑŋ		杯也
𥃎	22517	3490	let		綬色也
𥃏	16139	2380	leʱ		[𥃏/盭]緑色又綬名或作綟又云弼也
𥃐	25213	3855	ʈʰɣɛp		五味調肉菜出文字音義丑㘝切一
𥃔	2338	255	ɡwio		[𥃔/？]聲類云，樹種也。
𥃧	12648	1688	kie̋w		目重瞼也
𥃩	5741	656	ʔew		望逺也
𥃯	12747	1706	ʔɣa̋w		[𥃯/見]深目
𥄃	21166	3313	mit		不見皃
𥄉	5676	652	kew		到懸首漢書曰三族令先黥劓斬左右趾𥄉首葅其骨謂之具五刑
𥄎	21525	3364	mwiɐt		舉目使人
𥄎	22714	3524	hwiet		舉目使人許劣切六
𥄎	23771	3671	tsʰwiek		小動七役切二
𥄎	24243	3716	hwɨk		舉目使人
𥄔	16487	2430	pɑiʱ		目不明皃又音霈
𥄔	16492	2431	pʰɑiʱ		𥄔眛目不眀也
𥄗	21966	3417	ʔwɑt		說文云捾目也
𥄱	15457	2284	biuiʱ		目不明或作䀟
𥄱	21977	3419	pʰwɑt		目𥄱眜不明皃
𥄵	21301	3336	hwit		深目皃
𥄶	1667	190	sɨ		姦視
𥅧	22281	3471	hwet		𥉺𥅧惡皃
𥆊	18084	2737	tsʰwienʱ		更視見皃說文作𨕐相顧視而行也又弋絹切
𥆌	19975	3185	kuk		動目
𥆖	8970	1029	təu		𥆖眵目汁凝眵赤支切
𥆗	5572	638	ɡwien		大視皃又音倦
𥆙	679	70	mɣɔŋ		目不明
𥆛	23752	3663	hwiek		[眼/眡]也
𥆛	24023	3692	hwek		[眼/眡]也
𥆝	6440	728	sɑ		偷視也
𥇅	12052	1594	mɣɛ̋n		武𥳑切一
𥇉	18945	2921	kʰiɑŋʱ		䁁𥇉目病
