Index	Baxter	polyhedron
2462	peaH	preh
2463	beaH	breh
2464	dzreaH	zreh
2465	pheaH	phreh
2466	tsreaH	creh
2467	kheaH	khreh
2468	sreaH	sreh
2469	xweaH	hrueh
2470	peaH	preh
2471	trweaH	trueh
2472	kweajH	kruaih
2473	'eajH	qraih
2474	tsreajH	craih
2475	keajH	kraih
2476	nreajH	nraih
2477	xeajH	hraih
2478	heajH	ghraih
2479	ngeajH	ngraih
2480	khweajH	khruaih
2481	peajH	praih
2482	pheajH	phraih
2483	hweajH	ghruaih
2484	ngweajH	ngruaih
2485	beajH	braih
2486	meajH	mraih
2487	xweajH	hruaih
2488	sreajH	sraih
2489	kheajH	khraih
2490	trhweajH	thruaih
2491	kwaejH	kruad
2492	khwaejH	khruad
2493	maejH	mrad
2494	hwaejH	ghruad
2495	baejH	brad
2496	'waejH	qruad
2497	tsrhwaejH	chruad
2498	kaejH	krad
2499	trhaejH	thrad
2500	'aejH	qrad
2501	sraejH	srad
2502	draejH	drad
2503	xaejH	hrad
2504	xwaejH	hruad
2505	paejH	prad
2506	tshwaejH	chruad
2507	dzraejH	zrad
2508	haejH	ghrad
2509	dwojH	duaih
2510	bwojH	buaih
2511	mwojH	muaih
2512	phwojH	phuaih
2513	xwojH	huaih
2514	twojH	tuaih
2515	tshwojH	chuaih
2516	tswojH	cuaih
2517	'wojH	quaih
2518	thwojH	thuaih
2519	kwojH	kuaih
2520	hwojH	ghuaih
2521	khwojH	khuaih
2522	swojH	suaih
2523	nwojH	nuaih
2524	lwojH	luaih
2525	pwojH	puaih
2526	ngwojH	nguaih
2527	hwojH	ghuaih
2528	dojH	daih
2529	tsojH	caih
2530	mojH	maih
2531	sojH	saih
2532	thojH	thaih
2533	kojH	kaih
2534	khojH	khaih
2535	ngojH	ngaih
2536	'ojH	qaih
2537	hojH	ghaih
2538	nojH	naih
2539	tojH	taih
2540	lojH	laih
2541	tshojH	chaih
2542	dzojH	zaih
2543	xojH	haih
2544	pjojH	pyad
2545	phjojH	phyad
2546	'jwojH	qyad
2547	bjojH	byad
2548	xjwojH	hyad
2549	gjwojH	gyad
2550	ngjojH	ngiad
2551	tsyinH	cjinh
2552	sinH	sinh
2553	nyinH	njinh
2554	yinH	jinh
2555	linH	linh
2556	pjinH	pjinh
2557	drinH	drinh
2558	dzyinH	zjinh
2559	syinH	sjinh
2560	khinH	khinh
2561	zinH	zsinh
2562	nginH	nginh
2563	tsinH	cinh
2564	xinH	hinh
2565	trinH	trinh
2566	ginH	ginh
2567	tsrhinH	chrinh
2568	'jinH	qjinh
2569	trhinH	thrinh
2570	phjinH	phjinh
2571	tshinH	chinh
