Index	Baxter	polyhedron
1368	srjuX	sryox
1369	kjuX	kyox
1370	tshjuX	chyox
1371	ljuX	lyox
1372	sjuX	syox
1373	dzrjuX	zryox
1374	muX	mox
1375	thuX	thox
1376	duX	dox
1377	luX	lox
1378	tshuX	chox
1379	tuX	tox
1380	kuX	kox
1381	nguX	ngox
1382	buX	box
1383	dzuX	zox
1384	tsuX	cox
1385	xuX	hox
1386	'uX	qox
1387	khuX	khox
1388	nuX	nox
1389	huX	ghox
1390	phuX	phox
1391	puX	pox
1392	dzejX	zex
1393	lejX	lex
1394	thejX	thex
1395	phejX	phex
1396	tsejX	cex
1397	tejX	tex
1398	dejX	dex
1399	nejX	nex
1400	sejX	sex
1401	tshejX	chex
1402	khejX	khex
1403	xejX	hex
1404	mejX	mex
1405	bejX	bex
1406	'ejX	qex
1407	ngejX	ngex
1408	pejX	pex
1409	heaX	ghrex
1410	meaX	mrex
1411	kheaX	khrex
1412	dreaX	drex
1413	nreaX	nrex
1414	beaX	brex
1415	'eaX	qrex
1416	peaX	prex
1417	keaX	krex
1418	sreaX	srex
1419	kweaX	kruex
1420	drweaX	druex
1421	hweaX	ghruex
1422	xweaX	hruex
1423	geaX	grex
1424	heajX	ghraix
1425	kheajX	khraix
1426	ngeajX	ngraix
1427	'eajX	qraix
1428	xwojX	huaix
1429	'wojX	quaix
1430	lwojX	luaix
1431	dwojX	duaix
1432	dzwojX	zuaix
1433	mwojX	muaix
1434	thwojX	thuaix
1435	hwojX	ghuaix
1436	khwojX	khuaix
1437	twojX	tuaix
1438	nwojX	nuaix
1439	trwojX	truaix
1440	ngwojX	nguaix
1441	tshwojX	chuaix
1442	bwojX	buaix
1443	tswojX	cuaix
1444	hwojX	uaix
1445	xojX	haix
1446	khojX	khaix
1447	tsojX	caix
1448	dojX	daix
1449	nojX	naix
1450	kojX	kaix
1451	hojX	ghaix
1452	phojX	phaix
1453	tshojX	chaix
1454	tsyhojX	chjaix
1455	tojX	taix
1456	mojX	maix
1457	dzojX	zaix
1458	phojX	phaix
1459	'ojX	qaix
1460	yojX	jaix
1461	thojX	thaix
1462	nyojX	njaix
1463	lojX	laix
1464	yojX	jaix
1465	bojX	baix
1466	tsyinX	cjinx
1467	trhinX	thrinx
1468	dzyinX	zjinx
1469	nyinX	njinx
1470	syinX	sjinx
1471	linX	linx
1472	drinX	drinx
1473	kjinX	kjinx
1474	dzinX	zinx
1475	tsinX	cinx
1476	bjinX	bjinx
1477	nginX	nginx
1478	tshinX	chinx
1479	gwinX	gynx
1480	yinX	jinx
1481	minX	minx
1482	mjinX	mjinx
1483	hwinX	ynx
1484	tsywinX	cjynx
1485	ywinX	jynx
1486	swinX	synx
1487	nywinX	njynx
1488	tsyhwinX	chjynx
1489	zywinX	zsjynx
1490	trhwinX	thrynx
1491	lwinX	lynx
1492	nywinX	njynx
1493	khjwinX	khjynx
1494	khjinX	khjinx
1495	sywinX	sjynx
1496	xjinX	hjinx
1497	dzrinX	zrinx
1498	trinX	trinx
1499	mjunX	myonx
1500	pjunX	pyonx
1501	bjunX	byonx
1502	phjunX	phyonx
1503	'junX	qyonx
1504	ngjunX	ngyonx
1505	hjunX	yonx
1506	khjunX	khyonx
1507	'j+nX	qionx
1508	kj+nX	kionx
1509	tsrinX	crinx
1510	khj+nX	khionx
1511	gj+nX	gionx
1512	tsrhinX	chrinx
1513	ngj+nX	ngionx
1514	xj+nX	hionx
1515	ngjwonX	ngyanx
1516	hjwonX	yanx
1517	'jonX	qianx
1518	kjonX	kianx
1519	gjonX	gianx
1520	khjonX	khianx
1521	ngjonX	ngianx
1522	xjonX	hianx
1523	mjonX	myanx
1524	pjonX	pyanx
1525	gjwonX	gyanx
1526	'jwonX	qyanx
1527	khjwonX	khyanx
1528	xjwonX	hyanx
1529	bjonX	byanx
1530	hwonX	ghuonx
1531	phwonX	phuonx
1532	tshwonX	chuonx
1533	pwonX	puonx
1534	swonX	suonx
1535	tswonX	cuonx
1536	'wonX	quonx
1537	dwonX	duonx
1538	dzwonX	zuonx
1539	kwonX	kuonx
1540	thwonX	thuonx
1541	khwonX	khuonx
1542	lwonX	luonx
1543	bwonX	buonx
1544	mwonX	muonx
1545	nwonX	nuonx
1546	xwonX	huonx
1547	honX	ghonx
1548	khonX	khonx
1549	konX	konx
1550	hanX	ghanx
1551	tanX	tanx
1552	thanX	thanx
1553	sanX	sanx
1554	danX	danx
1555	dzanX	zanx
1556	kanX	kanx
1557	lanX	lanx
1558	khanX	khanx
1559	xanX	hanx
1560	tsanX	canx
1561	hwanX	ghuanx
1562	twanX	tuanx
1563	'wanX	quanx
1564	thwanX	thuanx
1565	swanX	suanx
1566	kwanX	kuanx
1567	lwanX	luanx
1568	khwanX	khuanx
1569	nwanX	nuanx
1570	tswanX	cuanx
1571	banX	buanx
1572	manX	muanx
1573	panX	puanx
1574	zwanX	zsuanx
1575	dwanX	duanx
1576	nanX	nanx
1577	phanX	phuanx
1578	sraenX	sranx
1579	'waenX	qruanx
1580	paenX	pranx
1581	tsraenX	cranx
1582	nraenX	nranx
1583	haenX	ghranx
1584	hwaenX	ghruanx
1585	baenX	branx
1586	maenX	mranx
1587	dzraenX	zranx
1588	ngaenX	ngranx
1589	tsrhaenX	chranx
1590	phaenX	phranx
1591	dzrwaenX	zruanx
1592	sreanX	srenx
1593	heanX	ghrenx
1594	meanX	mrenx
1595	keanX	krenx
1596	tsrheanX	chrenx
1597	dzreanX	zrenx
1598	ngeanX	ngrenx
1599	tsreanX	crenx
1600	tsrhweanX	chruenx
1601	kheanX	khrenx
1602	senX	senx
1603	thenX	thenx
1604	tenX	tenx
1605	'enX	qenx
1606	denX	denx
1607	kenX	kenx
1608	henX	ghenx
1609	xenX	henx
1610	menX	menx
1611	nenX	nenx
1612	penX	penx
1613	hwenX	ghuenx
1614	kwenX	kuenx
1615	benX	benx
1616	khwenX	khuenx
1617	khenX	khenx
1618	ngenX	ngenx
1619	sjenX	sienx
1620	yenX	jenx
1621	dzjenX	zienx
1622	trjenX	trienx
1623	tsyenX	cjenx
1624	nrjenX	nrienx
1625	tshjenX	chienx
1626	tsyhenX	chjenx
1627	khjienX	khjenx
1628	kjenX	kienx
1629	dzyenX	zjenx
1630	tsjenX	cienx
1631	nyenX	njenx
1632	zjenX	zsienx
1633	ljenX	lienx
1634	ngjenX	ngienx
1635	gjenX	gienx
1636	bjenX	bienx
1637	mjienX	mjenx
1638	pjienX	pjenx
1639	tsjwenX	cyenx
1640	dzjwenX	zyenx
1641	pjenX	pienx
1642	ywenX	jyenx
1643	ljwenX	lyenx
1644	trjwenX	tryenx
1645	kjwenX	kyenx
1646	gjwenX	gyenx
1647	nywenX	njyenx
1648	tsyhwenX	chjyenx
1649	dzywenX	zjyenx
1650	drjwenX	dryenx
1651	tsywenX	cjyenx
1652	sjwenX	syenx
1653	dzrjwenX	zryenx
1654	gjwienX	gjyenx
1655	xjwienX	hjyenx
1656	bjienX	bjenx
1657	mjenX	mienx
1658	trhjenX	thrienx
1659	phjenX	phienx
1660	syenX	sjenx
1661	'jenX	qienx
1662	drjenX	drienx
1663	dzrjenX	zrienx
1664	sewX	seux
1665	kewX	keux
1666	tewX	teux
1667	lewX	leux
1668	thewX	theux
1669	xewX	heux
1670	'ewX	qeux
